Request_ID,Department,Request_Type,Priority,Channel,First_Response_Time,Number_of_Interactions,Escalated,Resolution_Time,Satisfaction_Score,Status
ADM00040,Admissions,Exam or Assessment Issue,Medium,Helpdesk,6.61,7,0,37.17,3,Pending
ADM00041,Registrar,Accommodation Request,High,Email,1.31,2,0,23.99,5,Resolved
ADM00042,Admissions,Password Reset,High,Email,1.13,2,0,7.56,5,Resolved
ADM00043,Registrar,Graduation Clearance,Medium,Email,7.23,4,0,43.16,4,Resolved
ADM00044,Student Affairs,Exam or Assessment Issue,Medium,Email,9.58,6,0,42.26,3,Resolved
ADM00045,Finance,Portal Access,Medium,Email,6.71,4,0,15.85,3,Resolved
ADM00046,IT,Accommodation Request,Low,Phone,19.92,8,0,55.45,2,Pending
ADM00047,Finance,Course Registration,High,Portal,1.26,5,0,16.88,4,Resolved
ADM00048,Admissions,Exam or Assessment Issue,Medium,Helpdesk,7.23,4,0,34.48,2,Resolved
ADM00049,Admissions,Transcript Request,High,Email,3.8,6,0,26.79,3,Resolved
ADM00050,Registrar,Course Registration,Medium,Phone,2.33,4,1,31.07,2,Resolved
ADM00051,Academic Affairs,Student ID Issue,Critical,Helpdesk,0.37,7,0,14.31,5,Resolved
ADM00052,Library,Graduation Clearance,Low,Email,19.63,4,0,53.53,2,Pending
ADM00053,Academic Affairs,Fee Statement,Low,Portal,12.8,2,0,32.89,2,Resolved
ADM00054,Student Affairs,Exam or Assessment Issue,Low,Phone,12.11,3,0,40.5,2,Resolved
ADM00055,IT,Application Issue,High,Phone,4.64,2,0,32.0,4,Resolved
ADM00056,Academic Affairs,Course Registration,Medium,Portal,9.94,2,1,37.16,4,Resolved
ADM00057,Registrar,Payment Issue,Low,Portal,19.29,3,1,63.51,2,Resolved
ADM00058,Registrar,Library Issue,High,Phone,4.07,3,0,15.48,3,Resolved
ADM00059,Registrar,Portal Access,High,Phone,1.44,2,0,9.57,4,Resolved
ADM00060,Finance,Course Registration,High,Email,1.37,3,1,22.58,4,Escalated
ADM00061,Finance,Graduation Clearance,Medium,Helpdesk,9.85,4,0,42.42,4,Resolved
ADM00062,Finance,Course Registration,Medium,Portal,7.56,3,0,25.11,2,Pending
ADM00063,Student Affairs,Fee Statement,High,Portal,3.59,1,0,19.81,5,Resolved
ADM00064,Finance,Student ID Issue,Medium,Walk-in,4.29,6,0,19.07,3,Resolved
ADM00065,Finance,Library Issue,Low,Phone,21.73,3,1,46.14,3,Escalated
ADM00066,Admissions,Exam or Assessment Issue,Medium,Email,2.36,7,0,36.81,2,Resolved
ADM00067,Registrar,Exam or Assessment Issue,Critical,Portal,0.69,6,0,28.04,4,Pending
ADM00068,Library,Library Issue,Low,Walk-in,7.6,5,0,19.51,5,Resolved
ADM00069,Registrar,Fee Statement,High,Phone,3.7,1,0,21.65,3,Resolved
ADM00070,Academic Affairs,Password Reset,Medium,Helpdesk,7.72,7,0,22.99,3,Resolved
ADM00071,Library,Graduation Clearance,High,Email,2.91,5,0,36.88,2,Resolved
ADM00072,Registrar,Fee Statement,High,Email,0.52,7,1,39.06,2,Resolved
ADM00073,Registrar,Payment Issue,Medium,Portal,8.99,5,1,56.61,2,Escalated
ADM00074,Student Affairs,Accommodation Request,Medium,Phone,9.64,3,0,38.37,3,Resolved
ADM00075,IT,Payment Issue,High,Email,1.41,3,1,46.43,3,Resolved
ADM00076,IT,Fee Statement,Medium,Walk-in,8.74,9,1,53.49,2,Resolved
ADM00077,Library,Application Issue,High,Email,4.88,4,0,30.58,4,Resolved
ADM00078,Registrar,Password Reset,High,Email,1.97,6,0,10.82,3,Resolved
ADM00079,Finance,Application Issue,Medium,Helpdesk,3.48,2,0,27.27,2,Resolved
ADM00080,Registrar,Payment Issue,Medium,Portal,9.82,5,0,40.47,3,Resolved
ADM00081,Student Affairs,Library Issue,Medium,Helpdesk,2.48,7,0,20.26,5,Resolved
ADM00082,IT,Payment Issue,High,Email,1.74,3,0,31.92,4,Resolved
ADM00083,Finance,Transcript Request,Low,Email,18.84,2,0,35.91,4,Resolved
ADM00084,Registrar,Student ID Issue,Critical,Walk-in,1.31,5,0,17.64,3,Resolved
ADM00085,Finance,Portal Access,Critical,Walk-in,1.43,4,0,5.69,4,Resolved
ADM00086,Finance,Transcript Request,Low,Portal,18.16,4,0,36.3,3,Resolved
ADM00087,IT,Fee Statement,Low,Email,17.72,3,1,50.45,3,Escalated
ADM00088,IT,Course Registration,Medium,Phone,4.74,2,0,21.64,5,Resolved
ADM00089,Student Affairs,Application Issue,Critical,Email,0.76,4,0,29.71,3,Resolved
ADM00090,Admissions,Accommodation Request,Medium,Walk-in,5.43,5,0,35.96,2,Resolved
ADM00091,Registrar,Transcript Request,Medium,Email,8.46,4,1,36.74,2,Resolved
ADM00092,IT,Graduation Clearance,High,Walk-in,4.72,7,0,43.2,3,Resolved
ADM00093,Library,Password Reset,Low,Portal,13.1,3,1,28.97,4,Resolved
ADM00094,IT,Application Issue,Medium,Portal,2.69,2,1,37.97,3,Resolved
ADM00095,Library,Transcript Request,Medium,Walk-in,9.51,2,0,29.43,4,Resolved
ADM00096,Admissions,Library Issue,Medium,Email,2.64,2,1,23.95,5,Resolved
ADM00097,Admissions,Exam or Assessment Issue,Low,Walk-in,7.18,6,0,35.55,3,Resolved
ADM00098,Admissions,Portal Access,Medium,Email,8.94,5,0,18.77,4,Resolved
ADM00099,Registrar,Payment Issue,High,Portal,2.98,4,1,49.18,3,Escalated
ADM00100,Registrar,Payment Issue,Medium,Portal,4.82,4,0,44.16,4,Resolved
ADM00101,Registrar,Transcript Request,High,Helpdesk,4.69,1,0,19.2,4,Pending
ADM00102,IT,Fee Statement,Low,Email,23.21,5,0,49.71,3,Resolved
ADM00103,Finance,Password Reset,Medium,Portal,4.65,4,0,14.63,5,Resolved
ADM00104,Admissions,Fee Statement,Low,Phone,21.37,5,1,62.1,3,Resolved
ADM00105,Student Affairs,Application Issue,Medium,Portal,7.43,3,0,34.62,3,Resolved
ADM00106,Finance,Student ID Issue,Medium,Email,4.2,2,0,11.88,5,Resolved
ADM00107,Admissions,Portal Access,Medium,Portal,9.53,2,1,19.53,5,Resolved
ADM00108,Library,Portal Access,Low,Email,5.26,6,1,25.23,2,Resolved
ADM00109,Finance,Payment Issue,Medium,Portal,4.54,3,0,37.31,3,Pending
ADM00110,Registrar,Portal Access,Medium,Walk-in,5.17,6,0,15.94,4,Resolved
ADM00111,Finance,Fee Statement,Medium,Walk-in,7.53,3,0,28.09,4,Resolved
ADM00112,Registrar,Password Reset,Low,Portal,4.77,6,1,21.1,3,Escalated
ADM00113,Academic Affairs,Password Reset,High,Phone,4.5,4,0,13.34,4,Resolved
ADM00114,Library,Payment Issue,Medium,Email,7.27,5,0,44.77,4,Resolved
ADM00115,IT,Transcript Request,Medium,Portal,4.2,5,0,21.46,5,Resolved
ADM00116,Student Affairs,Exam or Assessment Issue,High,Helpdesk,3.46,2,0,35.64,4,Resolved
ADM00117,Library,Password Reset,Medium,Portal,6.3,4,0,18.17,3,Resolved
ADM00118,Registrar,Fee Statement,Low,Portal,10.73,2,0,33.85,2,Resolved
ADM00119,Student Affairs,Course Registration,Medium,Walk-in,2.23,3,0,18.44,3,Resolved
ADM00120,Admissions,Transcript Request,High,Phone,2.98,5,0,24.73,3,Resolved
ADM00121,Library,Student ID Issue,Medium,Portal,2.66,4,0,15.77,4,Resolved
ADM00122,Student Affairs,Accommodation Request,High,Email,4.15,4,0,35.72,3,Resolved
ADM00123,Finance,Graduation Clearance,High,Portal,0.9,7,0,35.88,2,Resolved
ADM00124,Registrar,Library Issue,Medium,Email,5.43,2,0,17.91,4,Resolved
ADM00125,Finance,Portal Access,Medium,Phone,5.48,4,0,15.53,3,Resolved
ADM00126,Admissions,Portal Access,Medium,Portal,6.45,3,1,27.57,2,Resolved
ADM00127,Student Affairs,Course Registration,Medium,Walk-in,2.32,7,0,29.07,4,Resolved
ADM00128,Student Affairs,Transcript Request,Medium,Email,3.63,1,1,26.04,4,Resolved
ADM00129,Registrar,Payment Issue,High,Portal,1.4,5,0,40.63,4,Resolved
ADM00130,Admissions,Fee Statement,Medium,Portal,6.79,7,0,35.92,4,Resolved
ADM00131,Admissions,Course Registration,Low,Email,9.27,5,0,31.78,2,Resolved
ADM00132,Finance,Library Issue,High,Portal,1.15,5,1,27.22,4,Resolved
ADM00133,Registrar,Password Reset,High,Email,0.58,4,0,7.93,4,Resolved
ADM00134,Finance,Payment Issue,Critical,Email,1.71,4,0,37.45,2,Resolved
ADM00135,Academic Affairs,Graduation Clearance,Medium,Email,9.77,4,1,49.67,2,Resolved
ADM00136,Finance,Graduation Clearance,Low,Portal,18.07,4,1,61.2,2,Escalated
ADM00137,Admissions,Accommodation Request,Low,Helpdesk,12.25,3,0,42.69,3,Resolved
ADM00138,IT,Exam or Assessment Issue,High,Email,1.05,2,1,37.82,3,Resolved
ADM00139,Finance,Payment Issue,Low,Helpdesk,13.5,4,0,48.92,2,Resolved
ADM00140,Academic Affairs,Course Registration,High,Portal,2.56,5,0,26.51,3,Resolved
ADM00141,Academic Affairs,Student ID Issue,Medium,Portal,5.36,5,0,18.46,3,Resolved
ADM00142,Finance,Course Registration,High,Portal,2.2,4,0,23.06,5,Resolved
ADM00143,Admissions,Course Registration,High,Helpdesk,2.74,2,0,13.74,5,Resolved
ADM00144,Finance,Course Registration,High,Walk-in,0.83,4,0,20.23,4,Resolved
ADM00145,Finance,Payment Issue,Medium,Helpdesk,2.31,3,0,37.01,4,Resolved
ADM00146,Registrar,Course Registration,Medium,Walk-in,2.51,5,0,21.08,4,Resolved
ADM00147,IT,Transcript Request,Low,Email,8.0,4,1,40.72,4,Resolved
ADM00148,Admissions,Payment Issue,Medium,Helpdesk,4.22,4,0,40.84,2,Resolved
ADM00149,Registrar,Password Reset,Medium,Helpdesk,3.36,3,0,11.18,4,Resolved
ADM00150,Finance,Transcript Request,High,Email,1.63,4,0,24.28,2,Resolved
ADM00151,Student Affairs,Library Issue,Low,Helpdesk,7.72,1,0,15.43,5,Resolved
ADM00152,Finance,Password Reset,High,Phone,1.18,5,0,15.95,3,Resolved
ADM00153,Registrar,Accommodation Request,Low,Helpdesk,9.86,2,0,41.43,2,Pending
ADM00154,Admissions,Portal Access,Medium,Helpdesk,5.18,6,0,18.0,4,Pending
ADM00155,Academic Affairs,Payment Issue,Low,Helpdesk,18.89,4,0,56.37,2,Resolved
ADM00156,Finance,Portal Access,High,Helpdesk,4.8,3,0,10.97,3,Resolved
ADM00157,IT,Payment Issue,Low,Email,22.38,5,0,56.01,3,Resolved
ADM00158,Library,Password Reset,High,Email,2.64,2,1,19.4,5,Escalated
ADM00159,Finance,Accommodation Request,Medium,Email,5.69,8,0,46.07,4,Pending
ADM00160,IT,Fee Statement,High,Email,1.07,3,0,22.72,4,Resolved
ADM00161,Finance,Fee Statement,Medium,Portal,9.77,4,1,44.62,3,Resolved
ADM00162,IT,Transcript Request,Medium,Phone,8.08,4,0,26.44,3,Resolved
ADM00163,IT,Course Registration,High,Portal,4.31,6,0,20.71,4,Resolved
ADM00164,Admissions,Course Registration,High,Phone,1.55,4,1,28.09,3,Resolved
ADM00165,Registrar,Fee Statement,Medium,Walk-in,5.21,1,0,24.54,4,Resolved
ADM00166,Student Affairs,Password Reset,High,Phone,0.96,3,0,10.41,3,Resolved
ADM00167,Finance,Exam or Assessment Issue,Low,Portal,22.82,4,0,47.14,3,Resolved
ADM00168,Registrar,Accommodation Request,High,Email,1.79,6,0,31.68,4,Resolved
ADM00169,Registrar,Transcript Request,Medium,Email,6.77,4,0,24.66,4,Resolved
ADM00170,IT,Password Reset,Low,Portal,7.04,4,0,19.02,5,Resolved
ADM00171,IT,Course Registration,Medium,Phone,8.42,5,0,32.83,3,Resolved
ADM00172,Registrar,Transcript Request,High,Portal,1.34,7,0,32.6,4,Resolved
ADM00173,Admissions,Portal Access,Critical,Phone,1.66,3,1,24.11,4,Resolved
ADM00174,Finance,Exam or Assessment Issue,Medium,Portal,5.21,7,1,48.56,3,Escalated
ADM00175,IT,Application Issue,High,Email,3.1,2,0,26.04,3,Resolved
ADM00176,Registrar,Library Issue,Medium,Walk-in,4.16,6,1,33.32,2,Escalated
ADM00177,IT,Graduation Clearance,High,Email,4.47,3,0,36.45,2,Resolved
ADM00178,Finance,Exam or Assessment Issue,Low,Phone,19.2,3,0,50.27,1,Resolved
ADM00179,Academic Affairs,Transcript Request,Medium,Walk-in,4.83,4,0,27.53,4,Resolved
ADM00180,Registrar,Course Registration,Low,Email,15.71,4,0,32.83,3,Resolved
ADM00181,Finance,Password Reset,Medium,Portal,3.03,2,0,6.24,5,Resolved
ADM00182,Registrar,Portal Access,Medium,Phone,3.28,5,0,15.25,5,Resolved
ADM00183,Academic Affairs,Library Issue,High,Phone,2.9,3,0,15.01,4,Resolved
ADM00184,Student Affairs,Exam or Assessment Issue,Medium,Email,7.12,3,0,35.68,3,Resolved
ADM00185,Finance,Library Issue,High,Walk-in,3.01,3,0,16.34,3,Resolved
ADM00186,IT,Transcript Request,High,Email,3.02,4,1,34.33,4,Escalated
ADM00187,Student Affairs,Library Issue,Low,Portal,18.85,6,0,42.96,4,Resolved
ADM00188,IT,Portal Access,Medium,Portal,9.22,3,0,20.18,3,Resolved
ADM00189,Admissions,Accommodation Request,High,Email,2.24,2,0,30.94,2,Resolved
ADM00190,Finance,Graduation Clearance,High,Portal,2.92,2,0,32.02,3,Resolved
ADM00191,Registrar,Password Reset,Critical,Email,1.81,1,1,9.91,4,Resolved
ADM00192,Student Affairs,Transcript Request,High,Portal,2.59,3,0,30.93,2,Resolved
ADM00193,Student Affairs,Library Issue,Medium,Email,5.56,2,0,15.86,3,Resolved
ADM00194,IT,Accommodation Request,High,Helpdesk,3.95,6,0,33.11,4,Resolved
ADM00195,Finance,Password Reset,Medium,Email,9.02,2,0,13.61,5,Resolved
ADM00196,Finance,Payment Issue,Medium,Helpdesk,7.9,2,0,42.52,2,Resolved
ADM00197,IT,Accommodation Request,High,Helpdesk,0.95,2,0,29.41,2,Resolved
ADM00198,Student Affairs,Payment Issue,High,Portal,2.59,4,1,44.48,3,Resolved
ADM00199,Student Affairs,Graduation Clearance,Critical,Portal,0.58,4,0,24.71,4,Resolved
ADM00200,Library,Payment Issue,Medium,Portal,4.54,5,0,45.96,2,Pending
ADM00201,IT,Accommodation Request,High,Helpdesk,2.61,2,0,34.37,2,Resolved
ADM00202,Registrar,Library Issue,High,Phone,1.5,5,0,21.23,5,Resolved
ADM00203,Registrar,Payment Issue,Medium,Helpdesk,6.13,3,0,40.27,2,Resolved
ADM00204,Student Affairs,Library Issue,Medium,Portal,7.15,4,1,28.09,4,Escalated
ADM00205,IT,Library Issue,Medium,Helpdesk,9.0,6,0,28.26,3,Resolved
ADM00206,Registrar,Password Reset,Medium,Portal,3.69,3,0,10.63,5,Resolved
ADM00207,Registrar,Student ID Issue,Medium,Helpdesk,4.48,5,0,19.56,4,Resolved
ADM00208,IT,Portal Access,Medium,Email,5.25,8,0,21.53,4,Pending
ADM00209,Registrar,Library Issue,High,Phone,1.51,1,0,8.45,4,Resolved
ADM00210,Registrar,Password Reset,Low,Phone,10.64,2,0,17.07,4,Resolved
ADM00211,Admissions,Application Issue,Medium,Phone,9.07,3,1,43.81,4,Resolved
ADM00212,IT,Graduation Clearance,Medium,Portal,3.11,1,0,30.43,4,Resolved
ADM00213,IT,Payment Issue,Medium,Phone,5.55,4,0,41.09,3,Resolved
ADM00214,Finance,Graduation Clearance,Critical,Email,0.76,3,1,44.39,2,Escalated
ADM00215,IT,Transcript Request,Medium,Portal,2.62,5,1,33.5,3,Escalated
ADM00216,Finance,Exam or Assessment Issue,Medium,Portal,2.77,5,0,36.92,3,Resolved
ADM00217,Finance,Library Issue,High,Portal,4.03,5,0,15.69,4,Resolved
ADM00218,Library,Accommodation Request,Low,Walk-in,21.05,6,0,47.93,2,Resolved
ADM00219,IT,Payment Issue,High,Email,3.84,5,0,42.55,2,Resolved
ADM00220,Student Affairs,Payment Issue,Medium,Email,6.31,3,0,37.41,3,Resolved
ADM00221,IT,Application Issue,Low,Portal,19.45,7,0,51.35,3,Resolved
ADM00222,IT,Transcript Request,High,Helpdesk,1.18,3,1,33.25,2,Escalated
ADM00223,Registrar,Password Reset,Low,Portal,19.6,6,0,28.88,2,Resolved
ADM00224,Finance,Application Issue,Medium,Walk-in,5.39,4,0,34.77,3,Resolved
ADM00225,Finance,Portal Access,Low,Portal,19.01,4,0,25.52,4,Resolved
ADM00226,Finance,Payment Issue,Low,Walk-in,8.55,5,0,47.78,4,Resolved
ADM00227,Academic Affairs,Library Issue,High,Portal,4.25,3,0,9.06,5,Resolved
ADM00228,Finance,Library Issue,High,Walk-in,3.06,2,0,13.54,3,Resolved
ADM00229,Student Affairs,Graduation Clearance,Low,Portal,4.15,3,0,36.35,2,Resolved
ADM00230,IT,Application Issue,Medium,Portal,6.15,6,0,35.92,3,Resolved
ADM00231,Library,Graduation Clearance,High,Email,1.9,3,1,45.05,3,Resolved
ADM00232,Admissions,Portal Access,High,Helpdesk,0.76,1,0,12.54,3,Resolved
ADM00233,IT,Fee Statement,Medium,Phone,5.58,4,0,34.14,4,Resolved
ADM00234,Admissions,Course Registration,High,Helpdesk,1.9,5,0,17.75,5,Resolved
ADM00235,Registrar,Accommodation Request,Medium,Email,3.64,4,0,34.92,2,Resolved
ADM00236,IT,Accommodation Request,High,Email,2.07,6,0,33.1,2,Resolved
ADM00237,Finance,Fee Statement,Critical,Portal,0.52,3,1,37.32,3,Resolved
ADM00238,Registrar,Payment Issue,Medium,Portal,4.4,5,0,43.27,4,Resolved
ADM00239,IT,Password Reset,Low,Walk-in,6.31,3,0,12.35,5,Resolved
ADM00240,Registrar,Transcript Request,Medium,Portal,2.67,4,1,38.57,4,Resolved
ADM00241,Academic Affairs,Graduation Clearance,Low,Email,22.2,4,0,59.48,2,Resolved
ADM00242,Academic Affairs,Fee Statement,Medium,Portal,9.22,6,1,45.47,2,Resolved
ADM00243,Academic Affairs,Portal Access,High,Phone,4.23,4,0,13.75,4,Resolved
ADM00244,Finance,Exam or Assessment Issue,Medium,Portal,3.84,3,1,42.8,2,Resolved
ADM00245,Registrar,Library Issue,Medium,Helpdesk,7.81,2,0,18.5,3,Resolved
ADM00246,Academic Affairs,Course Registration,Medium,Email,6.72,1,0,16.97,4,Resolved
ADM00247,Admissions,Payment Issue,Low,Walk-in,5.02,5,0,41.3,2,Resolved
ADM00248,Academic Affairs,Course Registration,Medium,Portal,9.2,1,0,23.77,3,Resolved
ADM00249,Academic Affairs,Transcript Request,Medium,Email,9.98,4,0,31.94,3,Resolved
ADM00250,Student Affairs,Library Issue,Low,Walk-in,18.17,6,0,30.49,2,Resolved
ADM00251,Finance,Portal Access,Critical,Portal,0.62,10,0,18.57,3,Resolved
ADM00252,Finance,Accommodation Request,Medium,Phone,6.44,3,0,32.52,3,Resolved
ADM00253,Student Affairs,Transcript Request,High,Phone,0.99,4,0,26.39,2,Pending
ADM00254,Finance,Fee Statement,Low,Email,9.98,5,0,35.7,4,Resolved
ADM00255,Registrar,Accommodation Request,High,Walk-in,3.73,4,0,35.2,3,Pending
ADM00256,IT,Accommodation Request,Medium,Phone,4.41,2,0,29.14,3,Resolved
ADM00257,Academic Affairs,Portal Access,High,Walk-in,1.16,2,1,20.27,4,Resolved
ADM00258,IT,Fee Statement,Medium,Portal,2.06,4,0,24.03,3,Resolved
ADM00259,IT,Application Issue,Critical,Email,1.23,5,0,28.46,2,Resolved
ADM00260,Registrar,Transcript Request,Medium,Portal,9.75,8,0,33.42,4,Resolved
ADM00261,IT,Password Reset,High,Helpdesk,2.68,3,0,10.21,5,Resolved
ADM00262,Academic Affairs,Student ID Issue,High,Helpdesk,1.46,5,0,7.1,5,Resolved
ADM00263,Registrar,Exam or Assessment Issue,High,Portal,2.58,3,0,37.35,3,Resolved
ADM00264,Admissions,Library Issue,Medium,Email,6.82,2,0,20.55,4,Resolved
ADM00265,Student Affairs,Portal Access,Medium,Phone,8.41,3,0,16.05,4,Resolved
ADM00266,Library,Library Issue,High,Walk-in,2.54,6,0,23.37,3,Resolved
ADM00267,IT,Transcript Request,Medium,Walk-in,3.38,5,0,27.85,3,Pending
ADM00268,IT,Fee Statement,Medium,Email,3.5,7,0,30.04,4,Resolved
ADM00269,Finance,Password Reset,Low,Email,21.99,8,0,34.8,3,Pending
ADM00270,Finance,Student ID Issue,Medium,Portal,3.89,5,0,13.11,4,Resolved
ADM00271,Library,Graduation Clearance,High,Email,3.78,6,0,40.04,4,Resolved
ADM00272,Student Affairs,Course Registration,Medium,Walk-in,4.15,1,0,16.07,5,Resolved
ADM00273,Student Affairs,Password Reset,Medium,Portal,7.76,4,0,14.48,3,Resolved
ADM00274,Academic Affairs,Portal Access,Medium,Walk-in,2.63,4,1,20.22,5,Escalated
ADM00275,Admissions,Library Issue,Medium,Email,3.66,7,0,22.86,4,Resolved
ADM00276,Admissions,Password Reset,High,Phone,2.34,2,0,5.62,5,Resolved
ADM00277,Library,Payment Issue,Medium,Portal,6.12,2,0,36.02,4,Resolved
ADM00278,IT,Fee Statement,Medium,Portal,4.82,7,0,34.46,3,Resolved
ADM00279,IT,Fee Statement,Medium,Portal,6.59,5,0,32.79,2,Resolved
ADM00280,Library,Payment Issue,Critical,Portal,0.79,4,0,32.23,2,Resolved
ADM00281,Student Affairs,Accommodation Request,Low,Helpdesk,17.57,4,0,47.46,4,Resolved
ADM00282,Finance,Accommodation Request,Low,Email,14.22,3,0,44.66,2,Resolved
ADM00283,Finance,Transcript Request,Medium,Walk-in,7.64,5,1,36.83,3,Resolved
ADM00284,Registrar,Application Issue,Medium,Helpdesk,5.45,4,0,31.0,2,Resolved
ADM00285,IT,Course Registration,Low,Phone,21.53,3,0,33.81,2,Resolved
ADM00286,Registrar,Payment Issue,High,Phone,2.22,3,0,43.86,2,Resolved
ADM00287,Admissions,Transcript Request,Medium,Email,4.47,4,0,29.14,2,Resolved
ADM00288,Admissions,Library Issue,Medium,Portal,6.46,3,0,16.33,4,Resolved
ADM00289,Finance,Payment Issue,Medium,Phone,6.07,5,0,45.3,3,Resolved
ADM00290,IT,Application Issue,High,Phone,2.83,3,0,26.46,3,Resolved
ADM00291,Registrar,Exam or Assessment Issue,Low,Portal,19.92,2,0,44.8,3,Pending
ADM00292,Registrar,Payment Issue,Low,Helpdesk,15.77,7,0,59.52,1,Resolved
ADM00293,Student Affairs,Application Issue,Medium,Portal,9.08,1,1,43.58,2,Resolved
ADM00294,Finance,Application Issue,Medium,Helpdesk,6.95,4,0,31.54,2,Resolved
ADM00295,Registrar,Application Issue,High,Portal,0.6,5,1,35.48,4,Resolved
ADM00296,Admissions,Exam or Assessment Issue,Medium,Walk-in,8.96,5,0,41.4,2,Resolved
ADM00297,Library,Fee Statement,Low,Phone,20.8,5,0,44.42,4,Resolved
ADM00298,Registrar,Password Reset,Medium,Phone,2.39,3,0,14.35,3,Pending
ADM00299,IT,Fee Statement,Medium,Email,3.0,3,0,31.47,4,Resolved
ADM00300,Registrar,Transcript Request,Medium,Email,6.45,5,0,29.72,2,Resolved
ADM00301,Registrar,Fee Statement,High,Portal,0.69,3,0,21.32,5,Pending
ADM00302,Admissions,Exam or Assessment Issue,Low,Helpdesk,12.22,3,0,31.5,2,Resolved
ADM00303,Admissions,Fee Statement,Low,Phone,23.51,3,0,44.6,3,Resolved
ADM00304,IT,Library Issue,Low,Email,7.46,3,0,15.51,3,Resolved
ADM00305,IT,Payment Issue,High,Portal,1.43,4,0,36.85,3,Resolved
ADM00306,Academic Affairs,Fee Statement,High,Phone,3.54,3,0,28.17,2,Resolved
ADM00307,Admissions,Student ID Issue,Critical,Portal,0.28,5,0,13.72,4,Resolved
ADM00308,Finance,Application Issue,Medium,Helpdesk,8.57,4,0,35.44,4,Resolved
ADM00309,Library,Payment Issue,Medium,Portal,3.59,7,0,42.56,4,Resolved
ADM00310,Finance,Accommodation Request,Medium,Portal,6.25,5,0,34.43,3,Resolved
ADM00311,Admissions,Library Issue,Medium,Portal,3.99,6,1,34.6,3,Resolved
